tconst,titleType,primaryTitle,originalTitle,startYear,genres,averageRating,numVotes
tt0000125,short,The Terrible Railway Accident,The Terrible Railway Accident,1896,Short,4.0,16.0
tt0000126,short,Tom Old Boot,Tom Old Boot,1896,Short,5.5,32.0
tt0000127,short,Les tribulations d'un concierge,Les tribulations d'un concierge,1896,"Comedy,Short",4.1,27.0
tt0000128,short,Academy for Young Ladies,Un lycée de jeunes filles,1896,Short,5.5,39.0
tt0000129,short,Un petit diable,Un petit diable,1896,Short,6.4,52.0
tt0000130,short,Une altercation au café,Une altercation au café,1896,Short,4.8,29.0
tt0000131,short,A Terrible Night,Une nuit terrible,1896,"Comedy,Horror,Short",5.8,1399.0
tt0000132,short,Card Party,Une partie de cartes,1896,"Biography,Short",5.1,1057.0
tt0000133,short,La voiture du potier,La voiture du potier,1896,Short,6.0,36.0
tt0000134,short,The Wandering Negro Minstrels,The Wandering Negro Minstrels,1896,"Music,Short",4.4,21.0
tt0000135,short,A Watermelon Feast,A Watermelon Feast,1896,"Documentary,Short",6.4,84.0
tt0000137,short,Au réfectoire,Au réfectoire,1897,"Comedy,Short",4.5,30.0
tt0000138,short,The Bewitched Inn,L'auberge ensorcelée,1897,"Comedy,Horror,Short",6.4,1128.0
tt0000139,short,L'aveugle,L'aveugle,1897,"Drama,Short",5.0,25.0
tt0000140,short,Baignade dans le torrent,Baignade dans le torrent,1897,Short,4.9,296.0
tt0000141,short,Ballet libella,Ballet libella,1897,"Documentary,Short",5.1,102.0
tt0000142,short,Buffalo Bill and Escort,Buffalo Bill and Escort,1897,"News,Short",4.1,29.0
tt0000143,short,Les cambrioleurs,Les cambrioleurs,1897,"Comedy,Short",4.9,261.0
tt0000144,short,Chez le magnétiseur,Chez le magnétiseur,1897,"Comedy,Short",5.1,313.0
tt0000145,short,En classe,En classe,1897,"Comedy,Short",3.2,13.0
tt0000146,short,Le cocher de fiacre endormi,Le cocher de fiacre endormi,1897,"Comedy,Short",4.8,27.0
tt0000147,movie,The Corbett-Fitzsimmons Fight,The Corbett-Fitzsimmons Fight,1897,"Documentary,News,Sport",5.2,466.0
tt0000148,short,Le Coucher d'Yvette,Le Coucher d'Yvette,1897,Short,2.7,15.0
tt0000149,short,Behind the Scenes,Dans les coulisses,1897,"Comedy,Short",4.1,22.0
tt0000150,short,Danse fleur de lotus,Danse fleur de lotus,1897,"Documentary,Short",5.3,167.0
tt0000151,short,Faust et Marguerite,Faust et Marguerite,1897,Short,4.8,63.0
tt0000152,short,The Hallucinated Alchemist,L'hallucination de l'alchimiste,1897,"Fantasy,Horror,Short",6.2,253.0
tt0000153,short,The Haunted Castle,The Haunted Castle,1897,"Horror,Short",5.7,451.0
tt0000154,short,Henley Regatta,Henley Regatta,1897,"News,Short,Sport",3.3,14.0
tt0000155,short,The Hypnotist at Work,Le magnétiseur,1897,Short,4.9,29.0
tt0000156,short,A Badly Managed Hotel,L'hôtel empoisonné,1896,"Comedy,Short",3.4,24.0
tt0000157,short,Idylle,Idylle,1897,Short,3.3,16.0
tt0000158,short,Idylle interrompue,Idylle interrompue,1897,"Comedy,Short",2.8,15.0
tt0000159,short,The Devil's Laboratory,Le cabinet de Méphistophélès,1897,"Horror,Short",5.2,127.0
tt0000160,short,The Last Days of Pompeii,The Last Days of Pompeii,1900,"Drama,Short",5.3,26.0
tt0000161,short,Leçon de danse,Leçon de danse,1897,"Comedy,Short",3.0,15.0
tt0000162,short,Niagara Falls,Les chutes,1897,"Documentary,Short",5.4,472.0
tt0000163,short,Le planton du colonel,Le planton du colonel,1897,"Comedy,Short",4.3,14.0
tt0000164,short,Le pêcheur dans le torrent,Le pêcheur dans le torrent,1897,"Comedy,Short",5.0,296.0
tt0000165,short,Riña en un café,Riña en un café,1897,Short,4.6,131.0
tt0000166,short,Salida de los trabajadores de la fábrica España Industrial,Salida de los trabajadores de la fábrica España Industrial,1897,"Documentary,Short",3.2,19.0
tt0000167,short,Salida de misa de doce del Pilar de Zaragoza,Salida de misa de doce del Pilar de Zaragoza,1897,"Documentary,Short",4.0,143.0
tt0000168,short,Salida del público de la iglesia parroquial de Santa María de Sans,Salida del público de la iglesia parroquial de Santa María de Sans,1897,"Documentary,Short",2.8,16.0
tt0000169,short,Slagsmål i gamla Stockholm,Slagsmål i gamla Stockholm,1897,Short,3.6,46.0
tt0000170,short,The Twins' Tea Party,The Twins' Tea Party,1896,"Comedy,Short",5.2,257.0
tt0000171,short,Une nuit agitée,Une nuit agitée,1897,"Comedy,Short",3.4,15.0
tt0000172,short,The X-Ray Fiend,The X-Ray Fiend,1897,"Comedy,Horror,Short",6.1,938.0
tt0000173,short,Battle of Santiago Bay,Battle of Santiago Bay,1898,"Short,War",4.5,44.0
tt0000174,short,Výstavní párkar a lepic plakátù,Výstavní párkar a lepic plakátù,1898,"Comedy,Short",4.6,130.0
tt0000175,short,A Sea Cave Near Lisbon,A Sea Cave Near Lisbon,1896,"Documentary,Short",5.0,221.0
tt0000176,short,Brittania,Brittania,1898,Short,4.6,13.0
tt0000177,short,The Burglar on the Roof,The Burglar on the Roof,1898,"Crime,Short",4.7,241.0
tt0000178,short,The Cavalier's Dream,The Cavalier's Dream,1898,"Horror,Short",5.2,190.0
tt0000179,short,The Cave of the Demons,La caverne maudite,1898,"Horror,Short",4.6,40.0
tt0000180,short,Le chemin de croix,Le chemin de croix,1898,Short,,
tt0000181,short,Cinderella,Cinderella,1898,"Fantasy,Short",6.8,59.0
tt0000182,short,"Come Along, Do!","Come Along, Do!",1898,"Comedy,Short",4.9,552.0
tt0000183,short,The Corsican Brothers,The Corsican Brothers,1898,"Drama,Short",5.9,35.0
tt0000184,short,Cripple Creek Bar-Room Scene,Cripple Creek Bar-Room Scene,1899,"Short,Western",4.9,324.0
tt0000185,short,La crèche à Bethléem,La crèche à Bethléem,1898,Short,,
tt0000186,short,Le cuirassé Maine,Le cuirassé Maine,1898,"Short,War",4.5,22.0
tt0000187,short,La cène,La cène,1898,Short,4.8,54.0
tt0000188,short,The Deserter,The Deserter,1898,"Drama,Short",,
tt0000189,short,Dorotea,Dorotea,1898,Short,,
tt0000190,short,Dostavenícko ve mlýnici,Dostavenícko ve mlýnici,1898,"Comedy,Short",4.8,145.0
tt0000191,short,Déménagement à la cloche de bois,Déménagement à la cloche de bois,1898,Short,,
tt0000192,short,"Ella Lola, a la Trilby","Ella Lola, a la Trilby",1898,Short,4.5,185.0
tt0000193,short,L'entrée à Jérusalem,L'entrée à Jérusalem,1898,Short,,
tt0000194,short,Express Train on a Railway Cutting,Express Train on a Railway Cutting,1898,"Documentary,Short",5.4,83.0
tt0000195,short,Les farces de Jocko,Les farces de Jocko,1898,"Comedy,Short",,
tt0000196,short,Faust and Mephistopheles,Faust and Mephistopheles,1898,"Fantasy,Short",4.9,27.0
tt0000197,short,La flagellation,La flagellation,1898,Short,4.2,19.0
tt0000198,short,La fuite en Égypte,La fuite en Égypte,1898,Short,4.2,19.0
tt0000199,short,Glasgow Fire Engine,Glasgow Fire Engine,1898,Short,,
tt0000200,short,Gran corrida de toros,Gran corrida de toros,1898,"Documentary,Short,Sport",,
tt0000201,short,Indian War Council,Indian War Council,1898,"News,Short",,
tt0000202,short,Le jardin des oliviers,Le jardin des oliviers,1898,Short,,
tt0000203,short,Je vous y prrrrends!,Je vous y prrrrends!,1898,Short,,
tt0000204,short,Jésus devant Pilate,Jésus devant Pilate,1898,Short,,
tt0000205,short,Leçons de boxe,Leçons de boxe,1898,"Comedy,Short,Sport",4.8,31.0
tt0000206,short,"Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona","Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona",1898,"Documentary,Short",5.2,13.0
tt0000207,short,London Express,London Express,1898,"Documentary,Short",,
tt0000208,short,The Miller and Chimney Sweep,The Miller and the Sweep,1897,"Comedy,Short",5.7,563.0
tt0000209,short,Photographing a Ghost,Photographing a Ghost,1898,"Horror,Short",5.0,28.0
tt0000210,short,A Novice at X-rays,Les rayons Röntgen,1898,Short,4.9,31.0
tt0000211,short,"The Astronomer's Dream; or, the Man in the Moon",La lune à un mètre,1898,"Comedy,Fantasy,Horror",7.4,4322.0
tt0000212,short,Saida do Paquete Duque de Braganca,Saida do Paquete Duque de Braganca,1898,Short,,
tt0000213,short,Scène d'escamotage,Scène d'escamotage,1898,Short,4.6,235.0
tt0000214,short,Tearing Down the Spanish Flag,Tearing Down the Spanish Flag,1898,"Short,War",4.2,97.0
tt0000215,short,Smích a plác,Smích a plác,1898,"Documentary,Short",4.1,126.0
tt0000216,short,Visita de Doña María Cristina y Alfonso XIII a Barcelona,Visita de Doña María Cristina y Alfonso XIII a Barcelona,1898,"News,Short",,
tt0000217,short,Waves and Spray,Waves and Spray,1898,Short,,
tt0000218,short,L'affaire Dreyfus,L'affaire Dreyfus,1899,"Biography,Drama,Short",5.9,648.0
tt0000219,short,Aladdin and the Wonderful Lamp,Aladdin and the Wonderful Lamp,1899,"Fantasy,Short",6.7,30.0
tt0000220,short,The Artist and the Flower Girl,The Artist and the Flower Girl,1901,"Romance,Short",,
tt0000221,short,Aspectos da Praia de Cascais,Aspectos da Praia de Cascais,1899,"Documentary,Short",,
tt0000222,short,Au cabaret,Au cabaret,1899,"Comedy,Short",4.6,235.0
tt0000223,short,L'aveugle,L'aveugle,1899,Short,5.4,18.0
tt0000224,short,Battlefield,Battlefield,1899,Short,,
tt0000225,short,Beauty and the Beast,La belle et la bête,1899,"Family,Fantasy,Romance",5.1,36.0
tt0000226,short,Boat Race,Boat Race,1899,Short,,
tt0000227,short,Bombardment of Mafeking,Bombardment of Mafeking,1899,"Drama,Short,War",,
tt0000228,short,La bonne absinthe,La bonne absinthe,1899,Short,4.9,275.0
tt0000229,short,Casey at the Bat,Casey at the Bat,1899,"Short,Sport",4.4,110.0
tt0000230,short,Cinderella,Cendrillon,1899,"Drama,Family,Fantasy",6.5,1667.0
tt0000231,short,Portuguese Railway Train,Portuguese Railway Train,1896,"Documentary,Short",2.6,19.0
tt0000232,short,Le chiffonnier,Le chiffonnier,1899,"Comedy,Short",,
tt0000233,short,Choque de dos transatlánticos,Choque de dos transatlánticos,1899,"Animation,Short",,
tt0000234,short,Cleopatra's Tomb,Cléopâtre,1899,"Horror,Short",6.3,68.0
tt0000235,short,Haggard's She: The Pillar of Fire,La colonne de feu,1899,"Adventure,Fantasy,Horror",6.3,866.0
tt0000236,short,Courte échelle,Courte échelle,1899,Short,,
tt0000237,short,Le crucifiement,Le crucifiement,1899,Short,,
tt0000238,short,Les dangers de l'alcoolisme,Les dangers de l'alcoolisme,1899,"Drama,Short",,
tt0000239,short,Danse serpentine par Mme. Bob Walter,Danse serpentine par Mme. Bob Walter,1899,"Music,Short",5.5,247.0
tt0000240,short,Distributing a War Extra,Distributing a War Extra,1899,"Documentary,Short",4.3,90.0
tt0000241,short,La descente de croix,La descente de croix,1899,Short,,
tt0000242,short,The Sign of the Cross,Le diable au couvent,1899,"Fantasy,Horror,Short",6.4,1206.0
tt0000243,short,Le déjeuner des enfants,Le déjeuner des enfants,1899,"Comedy,Short",,
tt0000244,short,Erreur judiciaire,Erreur judiciaire,1899,Short,,
tt0000245,short,The Haunted House,The Haunted House,1899,"Comedy,Fantasy,Horror",6.4,49.0
tt0000246,short,A Turn of the Century Illusionist,L'impressionniste fin de siècle,1899,"Fantasy,Short",6.4,1037.0
tt0000247,short,King John,King John,1899,"Drama,Short",5.0,491.0
tt0000248,short,A Kiss in the Tunnel,The Kiss in the Tunnel,1899,"Comedy,Romance,Short",6.1,1584.0
tt0000249,short,The Legacy,The Legacy,1899,Short,,
tt0000250,short,Llegada del vapor Bellver a Mallorca,Llegada del vapor Bellver a Mallorca,1899,"Documentary,Short",,
tt0000251,short,Matches: An Appeal,Matches: An Appeal,1899,"Animation,Short",5.3,143.0
tt0000252,short,La mauvaise soupe,La mauvaise soupe,1899,"Comedy,Short",,
tt0000253,short,The Miser's Doom,The Miser's Doom,1899,"Horror,Short",4.2,25.0
tt0000254,short,Monnaie de lapin,Monnaie de lapin,1899,"Comedy,Short",,
tt0000255,short,Mésaventure d'un charbonnier,Mésaventure d'un charbonnier,1899,"Comedy,Short",,
tt0000256,short,Panorama from the Tower of the Brooklyn Bridge,Panorama from the Tower of the Brooklyn Bridge,1899,"Documentary,Short",4.8,171.0
tt0000257,short,La résurrection,La résurrection,1899,Short,,
tt0000258,short,Le tondeur de chiens,Le tondeur de chiens,1899,"Comedy,Short",,
tt0000259,short,Le tonnelier,Le tonnelier,1899,"Comedy,Short",,
tt0000260,short,Transformations,Transformations,1899,"Comedy,Short",,
tt0000261,short,A Midnight Episode,Un bon lit,1899,"Comedy,Horror,Short",5.5,63.0
tt0000262,short,Un lunch,Un lunch,1899,"Comedy,Short",,
tt0000263,short,"Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria","Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria",1899,"Documentary,Short",,
tt0000264,short,Summoning the Spirits,Évocation spirite,1899,"Fantasy,Horror,Short",5.7,442.0
tt0000265,short,Above the Limit,Above the Limit,1900,"Comedy,Short",4.3,141.0
tt0000266,short,Above the Speedway,Above the Speedway,1900,"Documentary,Short",,
tt0000267,short,L'angélus,L'angélus,1900,Short,,
tt0000268,short,L'arléquine,L'arléquine,1900,Short,,
tt0000269,short,"Army Life; or, How Soldiers Are Made: Mounted Infantry",Army Life,1900,"Documentary,Short",4.8,134.0
tt0000270,short,Arrivée d'Arléquin,Arrivée d'Arléquin,1900,Short,,
tt0000271,short,Arrivée de Pierette et Pierrot,Arrivée de Pierette et Pierrot,1900,Short,6.5,12.0
tt0000272,short,As Seen Through a Telescope,As Seen Through a Telescope,1900,"Comedy,Short",5.6,845.0
tt0000273,short,Attack on a China Mission,Attack on a China Mission,1900,"Action,Crime,Drama",5.5,624.0
tt0000274,short,Avenue de l'opéra,Avenue de l'opéra,1900,"Comedy,Short",5.6,251.0
tt0000275,short,Badinage,Badinage,1900,Short,,
tt0000276,short,Bataille d'oreillers,Bataille d'oreillers,1900,Short,6.9,32.0
tt0000277,short,Bataille de boules de neige,Bataille de boules de neige,1900,Short,6.2,64.0
tt0000278,short,Buffalo Bill's Show Parade,Buffalo Bill's Show Parade,1900,Short,,
tt0000279,short,Buffalo Bill's Wild West Parade,Buffalo Bill's Wild West Parade,1900,"News,Short",4.2,24.0
tt0000280,short,Buffalo Bill's Wild West Parade,Buffalo Bill's Wild West Parade,1900,"News,Short",4.5,24.0
tt0000281,short,Buffalo Bill's Wild West Show,Buffalo Bill's Wild West Show,1900,"News,Short",,
tt0000282,short,Le bébé,Le bébé,1900,Short,,
tt0000283,short,Chez le Maréchal-Ferrant,Chez le Maréchal-Ferrant,1900,Short,5.9,17.0
tt0000284,short,Chez le photographe,Chez le photographe,1900,Short,5.3,232.0
tt0000285,short,Chinese Magic,Chinese Magic,1900,"Horror,Short",,
tt0000286,short,Chirurgie fin de siècle,Chirurgie fin de siècle,1900,"Comedy,Short",5.7,254.0
tt0000287,short,The Clown and the Alchemist,The Clown and the Alchemist,1900,"Comedy,Fantasy,Short",4.9,163.0
tt0000288,short,La concierge,La concierge,1900,"Comedy,Short",5.2,195.0
tt0000289,short,Coucher d'une Parisienne,Coucher d'une Parisienne,1900,Short,,
